08-14-2025 09:46:32 RAM 3053/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@1728,95%@1728,24%@1728,26%@1728,34%@729,33%@729,34%@729,34%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.312C Tboard@38C SOC2@44.937C Tdiode@39C SOC0@45.375C CV1@-256C GPU@-256C tj@48.312C SOC1@44.625C CV2@-256C VDD_GPU_SOC 2405mW/2271mW VDD_CPU_CV 2005mW/1737mW VIN_SYS_5V0 3028mW/3103mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:33 RAM 3051/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [13%@1728,96%@1728,26%@1728,26%@1728,14%@729,33%@729,33%@729,34%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.25C Tboard@38C SOC2@44.968C Tdiode@39C SOC0@45.437C CV1@-256C GPU@-256C tj@48.25C SOC1@44.562C CV2@-256C VDD_GPU_SOC 2004mW/2250mW VDD_CPU_CV 2005mW/1757mW VIN_SYS_5V0 3129mW/3105mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:34 RAM 3053/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [2%@1728,96%@1728,27%@1728,28%@1728,36%@729,34%@729,34%@729,35%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.562C Tboard@38C SOC2@45.062C Tdiode@39C SOC0@45.281C CV1@-256C GPU@-256C tj@48.343C SOC1@44.593C CV2@-256C VDD_GPU_SOC 2405mW/2261mW VDD_CPU_CV 2005mW/1775mW VIN_SYS_5V0 3028mW/3100mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:35 RAM 3025/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@1728,95%@1728,24%@1728,25%@1728,34%@729,34%@729,34%@729,34%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.25C Tboard@38C SOC2@45.062C Tdiode@39C SOC0@45.437C CV1@-256C GPU@-256C tj@48.25C SOC1@44.593C CV2@-256C VDD_GPU_SOC 2004mW/2244mW VDD_CPU_CV 2005mW/1790mW VIN_SYS_5V0 3129mW/3102mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:36 RAM 3060/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [34%@1728,49%@1728,26%@1728,41%@1728,31%@729,31%@729,33%@729,32%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.437C Tboard@38C SOC2@45C Tdiode@39C SOC0@45.312C CV1@-256C GPU@-256C tj@48.437C SOC1@44.531C CV2@-256C VDD_GPU_SOC 2004mW/2229mW VDD_CPU_CV 2005mW/1804mW VIN_SYS_5V0 3129mW/3103mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:37 RAM 3068/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [96%@1728,22%@1728,25%@1728,18%@1728,6%@729,33%@729,33%@729,33%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.375C Tboard@38C SOC2@45.031C Tdiode@39C SOC0@45.375C CV1@-256C GPU@-256C tj@48.187C SOC1@44.781C CV2@-256C VDD_GPU_SOC 2405mW/2239mW VDD_CPU_CV 2005mW/1815mW VIN_SYS_5V0 3129mW/3105mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:38 RAM 3068/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [96%@1728,19%@1728,26%@1728,26%@1728,9%@729,34%@729,32%@729,33%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.562C Tboard@38C SOC2@45.062C Tdiode@39C SOC0@45.375C CV1@-256C GPU@-256C tj@48.562C SOC1@44.781C CV2@-256C VDD_GPU_SOC 2405mW/2248mW VDD_CPU_CV 2005mW/1826mW VIN_SYS_5V0 3129mW/3106mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:39 RAM 3071/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [96%@1728,0%@1728,27%@1728,28%@1728,36%@729,36%@729,35%@729,35%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.406C Tboard@38C SOC2@45.062C Tdiode@38.75C SOC0@45.531C CV1@-256C GPU@-256C tj@48.406C SOC1@44.625C CV2@-256C VDD_GPU_SOC 2405mW/2257mW VDD_CPU_CV 2005mW/1835mW VIN_SYS_5V0 3129mW/3107mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:40 RAM 3073/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [95%@1728,1%@1728,27%@1728,28%@1728,35%@729,35%@729,36%@729,34%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.343C Tboard@38C SOC2@45.062C Tdiode@39C SOC0@45.531C CV1@-256C GPU@-256C tj@48.343C SOC1@44.718C CV2@-256C VDD_GPU_SOC 2405mW/2264mW VDD_CPU_CV 2005mW/1844mW VIN_SYS_5V0 3129mW/3108mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
08-14-2025 09:46:41 RAM 3072/62801MB (lfb 13313x4MB) SWAP 0/31400MB (cached 0MB) CPU [0%@1728,29%@1728,29%@1728,96%@1728,34%@729,35%@729,34%@729,34%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.343C Tboard@38C SOC2@44.906C Tdiode@39C SOC0@45.5C CV1@-256C GPU@-256C tj@48.437C SOC1@44.687C CV2@-256C VDD_GPU_SOC 2004mW/2252mW VDD_CPU_CV 2005mW/1851mW VIN_SYS_5V0 3129mW/3109mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/605mW NC 0mW/0mW
