08-13-2025 19:06:14 RAM 3449/62801MB (lfb 13290x4MB) SWAP 0/31400MB (cached 0MB) CPU [23%@1728,94%@1728,0%@1728,22%@1728,31%@729,31%@729,30%@729,30%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.562C Tboard@38C SOC2@44.875C Tdiode@38.75C SOC0@45.187C CV1@-256C GPU@-256C tj@48.562C SOC1@44.468C CV2@-256C VDD_GPU_SOC 2406mW/2439mW VDD_CPU_CV 2006mW/1638mW VIN_SYS_5V0 3129mW/3104mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/579mW NC 0mW/0mW
08-13-2025 19:06:15 RAM 3529/62801MB (lfb 13264x4MB) SWAP 0/31400MB (cached 0MB) CPU [11%@1728,22%@1728,87%@1728,10%@1728,2%@1190,11%@1191,13%@960,14%@960,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.062C Tboard@38C SOC2@44.75C Tdiode@38.75C SOC0@45.187C CV1@-256C GPU@-256C tj@48.062C SOC1@44.468C CV2@-256C VDD_GPU_SOC 2406mW/2436mW VDD_CPU_CV 1605mW/1635mW VIN_SYS_5V0 3028mW/3098mW NC 0mW/0mW VDDQ_VDD2_1V8AO 504mW/573mW NC 0mW/0mW
08-13-2025 19:06:16 RAM 3547/62801MB (lfb 13264x4MB) SWAP 0/31400MB (cached 0MB) CPU [24%@1728,0%@1728,94%@1728,22%@1728,31%@729,30%@729,31%@729,30%@883,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.187C Tboard@38C SOC2@44.843C Tdiode@38.75C SOC0@45.312C CV1@-256C GPU@-256C tj@48.281C SOC1@44.468C CV2@-256C VDD_GPU_SOC 2406mW/2434mW VDD_CPU_CV 2006mW/1662mW VIN_SYS_5V0 3129mW/3100mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/576mW NC 0mW/0mW
08-13-2025 19:06:17 RAM 3625/62801MB (lfb 13247x4MB) SWAP 0/31400MB (cached 0MB) CPU [12%@1728,2%@1728,97%@1728,12%@1728,15%@806,16%@806,15%@806,14%@806,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.375C Tboard@38C SOC2@44.687C Tdiode@38.75C SOC0@45.468C CV1@-256C GPU@-256C tj@48.375C SOC1@44.468C CV2@-256C VDD_GPU_SOC 2406mW/2432mW VDD_CPU_CV 1605mW/1658mW VIN_SYS_5V0 3028mW/3095mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/578mW NC 0mW/0mW
08-13-2025 19:06:18 RAM 3570/62801MB (lfb 13247x4MB) SWAP 0/31400MB (cached 0MB) CPU [7%@1728,18%@1728,95%@1728,20%@1728,30%@729,29%@729,30%@729,28%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.187C Tboard@38C SOC2@44.812C Tdiode@38.75C SOC0@45.375C CV1@-256C GPU@-256C tj@48.187C SOC1@44.468C CV2@-256C VDD_GPU_SOC 2406mW/2431mW VDD_CPU_CV 2006mW/1680mW VIN_SYS_5V0 3129mW/3097mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/579mW NC 0mW/0mW
08-13-2025 19:06:19 RAM 3662/62801MB (lfb 13231x4MB) SWAP 0/31400MB (cached 0MB) CPU [1%@1728,12%@1728,97%@1728,10%@1728,14%@729,13%@800,14%@960,13%@960,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.093C Tboard@38C SOC2@44.75C Tdiode@38.75C SOC0@45.218C CV1@-256C GPU@-256C tj@48.093C SOC1@44.406C CV2@-256C VDD_GPU_SOC 2406mW/2429mW VDD_CPU_CV 1605mW/1675mW VIN_SYS_5V0 3028mW/3093mW NC 0mW/0mW VDDQ_VDD2_1V8AO 504mW/575mW NC 0mW/0mW
08-13-2025 19:06:20 RAM 3681/62801MB (lfb 13231x4MB) SWAP 0/31400MB (cached 0MB) CPU [24%@1728,24%@1728,94%@1728,5%@1728,33%@729,33%@729,32%@729,31%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.312C Tboard@38C SOC2@44.875C Tdiode@38.75C SOC0@45.312C CV1@-256C GPU@-256C tj@48.187C SOC1@44.468C CV2@-256C VDD_GPU_SOC 2406mW/2428mW VDD_CPU_CV 2006mW/1693mW VIN_SYS_5V0 3129mW/3095mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/576mW NC 0mW/0mW
08-13-2025 19:06:21 RAM 3760/62801MB (lfb 13208x4MB) SWAP 0/31400MB (cached 0MB) CPU [91%@1728,12%@1728,11%@1728,15%@1728,14%@729,13%@729,5%@729,13%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.093C Tboard@38C SOC2@44.937C Tdiode@38.75C SOC0@45.187C CV1@-256C GPU@-256C tj@48.093C SOC1@44.5C CV2@-256C VDD_GPU_SOC 2406mW/2427mW VDD_CPU_CV 1605mW/1689mW VIN_SYS_5V0 3028mW/3092mW NC 0mW/0mW VDDQ_VDD2_1V8AO 504mW/573mW NC 0mW/0mW
08-13-2025 19:06:22 RAM 3768/62801MB (lfb 13208x4MB) SWAP 0/31400MB (cached 0MB) CPU [80%@1728,36%@1728,22%@1728,5%@1728,25%@729,31%@729,31%@729,32%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.625C Tboard@38C SOC2@44.937C Tdiode@39C SOC0@45.218C CV1@-256C GPU@-256C tj@48.625C SOC1@44.468C CV2@-256C VDD_GPU_SOC 2406mW/2426mW VDD_CPU_CV 2006mW/1705mW VIN_SYS_5V0 3028mW/3088mW NC 0mW/0mW VDDQ_VDD2_1V8AO 605mW/574mW NC 0mW/0mW
08-13-2025 19:06:23 RAM 3848/62801MB (lfb 13190x4MB) SWAP 0/31400MB (cached 0MB) CPU [11%@1728,98%@1728,10%@1728,11%@1728,3%@729,10%@729,12%@729,13%@729,off,off,off,off] EMC_FREQ 0% GR3D_FREQ 0%@[0] CV0@-256C CPU@48.187C Tboard@38C SOC2@44.781C Tdiode@38.75C SOC0@45.281C CV1@-256C GPU@-256C tj@48C SOC1@44.375C CV2@-256C VDD_GPU_SOC 2406mW/2425mW VDD_CPU_CV 1605mW/1700mW VIN_SYS_5V0 3028mW/3085mW NC 0mW/0mW VDDQ_VDD2_1V8AO 504mW/571mW NC 0mW/0mW
